code,name,market,yahoo_symbol
4772,台特化,tw_stocks,"4772.TW,4772.TWO"
4804,大略-KY,tw_stocks,"4804.TW,4804.TWO"
4806,桂田文創,tw_stocks,"4806.TW,4806.TWO"
4903,聯光通,tw_stocks,"4903.TW,4903.TWO"
4905,台聯電,tw_stocks,"4905.TW,4905.TWO"
4907,富宇,tw_stocks,"4907.TW,4907.TWO"
4908,前鼎,tw_stocks,"4908.TW,4908.TWO"
4909,新復興,tw_stocks,"4909.TW,4909.TWO"
4911,德英,tw_stocks,"4911.TW,4911.TWO"
4923,力士,tw_stocks,"4923.TW,4923.TWO"
4924,欣厚-KY,tw_stocks,"4924.TW,4924.TWO"
4931,新盛力,tw_stocks,"4931.TW,4931.TWO"
4933,友輝,tw_stocks,"4933.TW,4933.TWO"
4939,亞電,tw_stocks,"4939.TW,4939.TWO"
4946,辣椒,tw_stocks,"4946.TW,4946.TWO"
4950,金耘國際,tw_stocks,"4950.TW,4950.TWO"
4951,精拓科,tw_stocks,"4951.TW,4951.TWO"
4953,緯軟,tw_stocks,"4953.TW,4953.TWO"
4966,譜瑞-KY,tw_stocks,"4966.TW,4966.TWO"
4971,IET-KY,tw_stocks,"4971.TW,4971.TWO"
4972,湯石照明,tw_stocks,"4972.TW,4972.TWO"
4973,廣穎,tw_stocks,"4973.TW,4973.TWO"
4974,亞泰,tw_stocks,"4974.TW,4974.TWO"
4979,華星光,tw_stocks,"4979.TW,4979.TWO"
4991,環宇-KY,tw_stocks,"4991.TW,4991.TWO"
4995,晶達,tw_stocks,"4995.TW,4995.TWO"
5009,榮剛,tw_stocks,"5009.TW,5009.TWO"
5011,久陽,tw_stocks,"5011.TW,5011.TWO"
5013,強新,tw_stocks,"5013.TW,5013.TWO"
5014,建錩,tw_stocks,"5014.TW,5014.TWO"
5015,華祺,tw_stocks,"5015.TW,5015.TWO"
5016,松和,tw_stocks,"5016.TW,5016.TWO"
5201,凱衛,tw_stocks,"5201.TW,5201.TWO"
5202,力新,tw_stocks,"5202.TW,5202.TWO"
5205,中茂,tw_stocks,"5205.TW,5205.TWO"
5206,坤悅,tw_stocks,"5206.TW,5206.TWO"
5209,新鼎,tw_stocks,"5209.TW,5209.TWO"
5210,寶碩,tw_stocks,"5210.TW,5210.TWO"
5211,蒙恬,tw_stocks,"5211.TW,5211.TWO"
5212,凌網,tw_stocks,"5212.TW,5212.TWO"
5213,亞昕,tw_stocks,"5213.TW,5213.TWO"
5220,萬達光電,tw_stocks,"5220.TW,5220.TWO"
5223,安力-KY,tw_stocks,"5223.TW,5223.TWO"
5227,立凱-KY,tw_stocks,"5227.TW,5227.TWO"
5228,鈺鎧,tw_stocks,"5228.TW,5228.TWO"
5230,雷笛克光學,tw_stocks,"5230.TW,5230.TWO"
5236,凌陽創新,tw_stocks,"5236.TW,5236.TWO"
5245,智晶,tw_stocks,"5245.TW,5245.TWO"
5251,天鉞電,tw_stocks,"5251.TW,5251.TWO"
5263,智崴,tw_stocks,"5263.TW,5263.TWO"
5272,笙科,tw_stocks,"5272.TW,5272.TWO"
5274,信驊,tw_stocks,"5274.TW,5274.TWO"
5276,達輝-KY,tw_stocks,"5276.TW,5276.TWO"
5278,尚凡*,tw_stocks,"5278.TW,5278.TWO"
5287,數字,tw_stocks,"5287.TW,5287.TWO"
5289,宜鼎,tw_stocks,"5289.TW,5289.TWO"
5291,邑昇,tw_stocks,"5291.TW,5291.TWO"
5299,杰力,tw_stocks,"5299.TW,5299.TWO"
5301,寶得利,tw_stocks,"5301.TW,5301.TWO"
5302,太欣,tw_stocks,"5302.TW,5302.TWO"
5309,系統電,tw_stocks,"5309.TW,5309.TWO"
5310,天剛,tw_stocks,"5310.TW,5310.TWO"
5312,寶島科,tw_stocks,"5312.TW,5312.TWO"
5314,世紀*,tw_stocks,"5314.TW,5314.TWO"
5315,光聯,tw_stocks,"5315.TW,5315.TWO"
5321,美而快,tw_stocks,"5321.TW,5321.TWO"
5324,士開,tw_stocks,"5324.TW,5324.TWO"
5328,華容,tw_stocks,"5328.TW,5328.TWO"
5340,建榮,tw_stocks,"5340.TW,5340.TWO"
5344,立衛,tw_stocks,"5344.TW,5344.TWO"
5345,馥鴻,tw_stocks,"5345.TW,5345.TWO"
5347,世界,tw_stocks,"5347.TW,5347.TWO"
5348,正能量智能,tw_stocks,"5348.TW,5348.TWO"
5351,鈺創,tw_stocks,"5351.TW,5351.TWO"
5353,台林,tw_stocks,"5353.TW,5353.TWO"
5355,佳總,tw_stocks,"5355.TW,5355.TWO"
5356,協益,tw_stocks,"5356.TW,5356.TWO"
5364,力麗店,tw_stocks,"5364.TW,5364.TWO"
5371,中光電,tw_stocks,"5371.TW,5371.TWO"
5381,光譜,tw_stocks,"5381.TW,5381.TWO"
5386,青雲,tw_stocks,"5386.TW,5386.TWO"
5392,能率,tw_stocks,"5392.TW,5392.TWO"
5398,慕康生醫,tw_stocks,"5398.TW,5398.TWO"
5403,中菲,tw_stocks,"5403.TW,5403.TWO"
5410,國眾,tw_stocks,"5410.TW,5410.TWO"
5425,台半,tw_stocks,"5425.TW,5425.TWO"
5426,振發,tw_stocks,"5426.TW,5426.TWO"
5432,新門,tw_stocks,"5432.TW,5432.TWO"
5438,東友,tw_stocks,"5438.TW,5438.TWO"
5439,高技,tw_stocks,"5439.TW,5439.TWO"
5443,均豪,tw_stocks,"5443.TW,5443.TWO"
5450,南良,tw_stocks,"5450.TW,5450.TWO"
5452,佶優,tw_stocks,"5452.TW,5452.TWO"
5455,昇益,tw_stocks,"5455.TW,5455.TWO"
5457,宣德,tw_stocks,"5457.TW,5457.TWO"
5460,同協,tw_stocks,"5460.TW,5460.TWO"
5464,霖宏,tw_stocks,"5464.TW,5464.TWO"
5465,富驊,tw_stocks,"5465.TW,5465.TWO"
5468,凱鈺,tw_stocks,"5468.TW,5468.TWO"
5474,聰泰,tw_stocks,"5474.TW,5474.TWO"
5475,德宏,tw_stocks,"5475.TW,5475.TWO"
5478,智冠,tw_stocks,"5478.TW,5478.TWO"
5481,新華,tw_stocks,"5481.TW,5481.TWO"
5483,中美晶,tw_stocks,"5483.TW,5483.TWO"
5487,通泰,tw_stocks,"5487.TW,5487.TWO"
5488,松普,tw_stocks,"5488.TW,5488.TWO"
5489,彩富,tw_stocks,"5489.TW,5489.TWO"
5490,同亨,tw_stocks,"5490.TW,5490.TWO"
5493,三聯,tw_stocks,"5493.TW,5493.TWO"
5498,凱崴,tw_stocks,"5498.TW,5498.TWO"
5508,永信建,tw_stocks,"5508.TW,5508.TWO"
5511,德昌,tw_stocks,"5511.TW,5511.TWO"
5512,力麒,tw_stocks,"5512.TW,5512.TWO"
5514,三豐,tw_stocks,"5514.TW,5514.TWO"
5516,雙喜,tw_stocks,"5516.TW,5516.TWO"
5520,力泰,tw_stocks,"5520.TW,5520.TWO"
5523,豐謙,tw_stocks,"5523.TW,5523.TWO"
5529,鉅陞,tw_stocks,"5529.TW,5529.TWO"
5530,龍巖,tw_stocks,"5530.TW,5530.TWO"
5536,聖暉*,tw_stocks,"5536.TW,5536.TWO"
5543,桓鼎-KY,tw_stocks,"5543.TW,5543.TWO"
5547,久舜,tw_stocks,"5547.TW,5547.TWO"
5548,安倉,tw_stocks,"5548.TW,5548.TWO"
5601,台聯櫃,tw_stocks,"5601.TW,5601.TWO"
5603,陸海,tw_stocks,"5603.TW,5603.TWO"
5604,中連,tw_stocks,"5604.TW,5604.TWO"
5609,中菲行,tw_stocks,"5609.TW,5609.TWO"
5701,劍湖山,tw_stocks,"5701.TW,5701.TWO"
5703,亞都,tw_stocks,"5703.TW,5703.TWO"
5704,老爺知,tw_stocks,"5704.TW,5704.TWO"
5864,致和證,tw_stocks,"5864.TW,5864.TWO"
5878,台名,tw_stocks,"5878.TW,5878.TWO"
5902,德記,tw_stocks,"5902.TW,5902.TWO"
5903,全家,tw_stocks,"5903.TW,5903.TWO"
5904,寶雅,tw_stocks,"5904.TW,5904.TWO"
5905,南仁湖,tw_stocks,"5905.TW,5905.TWO"
6015,宏遠證,tw_stocks,"6015.TW,6015.TWO"
6016,康和證,tw_stocks,"6016.TW,6016.TWO"
6020,大展證,tw_stocks,"6020.TW,6020.TWO"
6021,美好證,tw_stocks,"6021.TW,6021.TWO"
6023,元大期,tw_stocks,"6023.TW,6023.TWO"
6026,福邦證,tw_stocks,"6026.TW,6026.TWO"
6028,公勝保經,tw_stocks,"6028.TW,6028.TWO"
6101,寬魚國際,tw_stocks,"6101.TW,6101.TWO"
6103,合邦,tw_stocks,"6103.TW,6103.TWO"
6104,創惟,tw_stocks,"6104.TW,6104.TWO"
6109,亞元,tw_stocks,"6109.TW,6109.TWO"
6111,光聚晶電,tw_stocks,"6111.TW,6111.TWO"
6113,亞矽,tw_stocks,"6113.TW,6113.TWO"
6114,久威,tw_stocks,"6114.TW,6114.TWO"
6118,建達,tw_stocks,"6118.TW,6118.TWO"
6121,新普,tw_stocks,"6121.TW,6121.TWO"
6122,擎邦,tw_stocks,"6122.TW,6122.TWO"
6123,上奇,tw_stocks,"6123.TW,6123.TWO"
6124,業強,tw_stocks,"6124.TW,6124.TWO"
6125,廣運,tw_stocks,"6125.TW,6125.TWO"
6126,信音,tw_stocks,"6126.TW,6126.TWO"
6127,九豪,tw_stocks,"6127.TW,6127.TWO"
6129,普誠,tw_stocks,"6129.TW,6129.TWO"
6130,上亞科技,tw_stocks,"6130.TW,6130.TWO"
6134,萬旭,tw_stocks,"6134.TW,6134.TWO"
6138,茂達,tw_stocks,"6138.TW,6138.TWO"
6140,訊達,tw_stocks,"6140.TW,6140.TWO"
6143,振曜,tw_stocks,"6143.TW,6143.TWO"
6144,得利影,tw_stocks,"6144.TW,6144.TWO"
6146,耕興,tw_stocks,"6146.TW,6146.TWO"
6147,頎邦,tw_stocks,"6147.TW,6147.TWO"
6148,驊宏資,tw_stocks,"6148.TW,6148.TWO"
6150,撼訊,tw_stocks,"6150.TW,6150.TWO"
6151,晉倫,tw_stocks,"6151.TW,6151.TWO"
6154,順發,tw_stocks,"6154.TW,6154.TWO"
6156,松上,tw_stocks,"6156.TW,6156.TWO"
6158,禾昌,tw_stocks,"6158.TW,6158.TWO"
6160,欣技,tw_stocks,"6160.TW,6160.TWO"
6161,捷波,tw_stocks,"6161.TW,6161.TWO"
6163,華電網,tw_stocks,"6163.TW,6163.TWO"
6167,久正,tw_stocks,"6167.TW,6167.TWO"
6169,昱泉,tw_stocks,"6169.TW,6169.TWO"
6170,統振,tw_stocks,"6170.TW,6170.TWO"
6171,大城地產,tw_stocks,"6171.TW,6171.TWO"
6173,信昌電,tw_stocks,"6173.TW,6173.TWO"
6174,安碁,tw_stocks,"6174.TW,6174.TWO"
6175,立敦,tw_stocks,"6175.TW,6175.TWO"
6179,亞通,tw_stocks,"6179.TW,6179.TWO"
6180,橘子,tw_stocks,"6180.TW,6180.TWO"
6182,合晶,tw_stocks,"6182.TW,6182.TWO"
6185,幃翔,tw_stocks,"6185.TW,6185.TWO"
6186,新潤,tw_stocks,"6186.TW,6186.TWO"
6187,萬潤,tw_stocks,"6187.TW,6187.TWO"
6188,廣明,tw_stocks,"6188.TW,6188.TWO"
6190,萬泰科,tw_stocks,"6190.TW,6190.TWO"
6194,育富,tw_stocks,"6194.TW,6194.TWO"
6195,詩肯,tw_stocks,"6195.TW,6195.TWO"
6198,瑞築,tw_stocks,"6198.TW,6198.TWO"
6199,天品,tw_stocks,"6199.TW,6199.TWO"
6203,海韻電,tw_stocks,"6203.TW,6203.TWO"
6204,艾華,tw_stocks,"6204.TW,6204.TWO"
6207,雷科,tw_stocks,"6207.TW,6207.TWO"
6208,日揚,tw_stocks,"6208.TW,6208.TWO"
6210,慶生,tw_stocks,"6210.TW,6210.TWO"
6212,理銘,tw_stocks,"6212.TW,6212.TWO"
6217,中探針,tw_stocks,"6217.TW,6217.TWO"
6218,豪勉,tw_stocks,"6218.TW,6218.TWO"
6219,富旺,tw_stocks,"6219.TW,6219.TWO"
6220,岳豐,tw_stocks,"6220.TW,6220.TWO"
6221,晉泰,tw_stocks,"6221.TW,6221.TWO"
6222,立軒,tw_stocks,"6222.TW,6222.TWO"
6223,旺矽,tw_stocks,"6223.TW,6223.TWO"
6227,茂綸,tw_stocks,"6227.TW,6227.TWO"
6228,全譜,tw_stocks,"6228.TW,6228.TWO"
6229,研通,tw_stocks,"6229.TW,6229.TWO"
6231,系微,tw_stocks,"6231.TW,6231.TWO"
6233,旺玖,tw_stocks,"6233.TW,6233.TWO"
6234,高僑,tw_stocks,"6234.TW,6234.TWO"
6236,中湛,tw_stocks,"6236.TW,6236.TWO"
6237,驊訊,tw_stocks,"6237.TW,6237.TWO"
6240,松崗,tw_stocks,"6240.TW,6240.TWO"
6241,鑫永洋,tw_stocks,"6241.TW,6241.TWO"
6242,立康,tw_stocks,"6242.TW,6242.TWO"
6244,茂迪,tw_stocks,"6244.TW,6244.TWO"
6245,立端,tw_stocks,"6245.TW,6245.TWO"
6246,臺龍,tw_stocks,"6246.TW,6246.TWO"
6248,沛波,tw_stocks,"6248.TW,6248.TWO"
6259,百徽,tw_stocks,"6259.TW,6259.TWO"
6261,久元,tw_stocks,"6261.TW,6261.TWO"
6263,普萊德,tw_stocks,"6263.TW,6263.TWO"
6264,富裔,tw_stocks,"6264.TW,6264.TWO"
